PPP1R12B,axolotl_gene,human_gene,D0,D0.5,D1,D1.5,D2,D3,D4,D5,D7,D9,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,LFC,ME,LME
4316,axo07250-r_at,ENO1,10814.26504,11594.0581,12435.78535,12863.01304,13120.13551,13246.65059,14032.31093,14627.24047,14729.51187,14570.058,15116.65169,6297.713843,5483.310974,5244.851862,13036.09364,13202.68741,10691.29506,11340.67585,10797.49479,10111.53917,-1.04396169,11667.76716,13.51024088
942,axo07502-r_at,ATP5B,12768.85905,12162.57432,12049.39425,11782.07483,11993.39098,12590.86692,12354.20025,12727.47843,12944.79053,12678.04787,13799.80251,5655.818115,5223.27961,5044.117858,13184.82681,12749.87957,12793.36357,12884.69709,12808.90919,13077.8431,-1.33995573,11563.71074,13.49731681
13886,axo11614-r_at,TUBA1A,10865.22929,11115.39811,11562.95086,11760.77082,12047.47344,12787.11338,12898.31511,12684.78987,13182.14021,13006.32718,12747.01653,5322.138244,5166.156132,5301.1589,12816.22713,13225.46658,13439.44555,13490.50748,13382.87075,13080.27272,-1.07255547,11494.08841,13.48860443
11319,axo10684-f_at,RPL27A,12785.83712,12663.81092,12134.46599,12578.4279,12365.51752,12665.18035,12432.05353,12439.77697,12397.09952,12441.32914,11841.94961,5038.167424,4914.709062,4984.840783,12540.47175,12961.69706,12950.81258,13100.87907,13034.58473,13097.70117,-1.3793687,11468.46561,13.48538476
11326,axo20452-f_at,RPL30,13227.5202,12937.76686,12285.97728,12513.77978,12426.58278,12483.15511,12992.00975,12629.1857,12308.65924,12211.20541,11778.2126,4956.847435,4787.185682,4737.831878,11647.81721,12868.41725,12713.9174,12887.77865,12550.60247,12934.57472,-1.48124371,11393.95137,13.47598053
7135,axo11191-r_at,LDHA,16026.04708,13567.0553,14328.60958,14309.27542,14841.71306,14454.09839,13873.79642,13972.38809,13488.47849,13591.05661,13200.84811,5545.438887,4960.942739,4208.716362,11022.79907,10632.63093,8211.385774,9652.045492,8962.851013,8589.366408,-1.92896643,11371.97716,13.47319549
652,axo31670-f_at,Apoe,7264.234196,8251.398832,8521.862154,9078.026598,8516.1698,9814.758132,12589.40081,11797.60998,15323.40189,15843.47302,16633.0371,7126.942305,6906.667711,7292.521504,16796.44156,14567.97771,13631.80516,12527.6136,11971.77957,12649.37953,1.209273,11355.22506,13.47106868
7013,axo21198-f_at,KRT10,13717.43387,10568.12635,12375.27531,12898.28829,12978.7606,12797.48771,13410.08722,13515.83478,12667.40159,13633.79901,12927.24297,5374.916436,5264.75405,5583.592733,13449.82704,14898.88762,10499.08514,10714.77549,8835.003555,6265.347006,-1.38157258,11118.79634,13.440713
3134,axo19619-f_at,CRISPLD2,15569.97492,19846.54148,18338.1947,18603.06867,18292.11153,17401.05311,16985.65227,15725.39897,14020.71206,11846.86736,12177.37033,5452.755645,4212.225625,3647.54181,7929.630905,7477.897599,4688.507418,3587.782455,3101.881807,2328.029299,-2.7415855,11061.6599,13.43328027
8562,axo06678-r_at,MYL12B,11772.98878,11454.63605,12460.49707,12126.99935,12309.6319,12240.11931,12181.58297,12148.58781,12768.12447,12158.11543,12236.01364,5143.478681,4778.880941,4697.509357,12170.94864,11712.65078,12000.99996,12125.78897,12418.55764,12213.31317,-1.32551268,11055.97125,13.43253815
9279,axo09806-f_at,OAZ1,10987.73195,11992.94208,11652.67856,12009.39622,11866.92889,12012.68476,12120.34379,11996.0515,11936.81231,11797.81442,12285.38969,5050.945501,4678.459243,4937.703697,12014.3252,12314.05247,12234.32597,12260.40486,12055.50947,12272.73354,-1.23178823,10923.86171,13.41519533
11369,axo17658-f_at,RPS19,12077.06275,11935.76983,11659.90166,11704.25917,11620.21386,12089.11489,12248.48759,12129.79039,11933.33775,12046.6217,11519.55208,4878.367572,4675.860488,4727.988628,11692.52587,11914.75776,12076.21729,12160.0623,12254.52547,12339.30912,-1.36896583,10884.18631,13.40994594
3951,axo07738-f_at,DSG2,8379.671656,10785.16031,10689.75376,11443.71616,11920.75507,13137.28014,13306.81794,12652.77316,11994.22233,12749.04003,12544.71435,5325.127378,5063.882696,5021.330988,12080.57078,11668.26956,11493.838,11865.45662,11930.79865,12598.13888,0.6672,10832.56592,13.4030874
427,axo02890-f_at,ALDOA,20733.77225,14620.9152,14747.91105,14277.43306,14696.88716,13624.24818,12426.6603,13013.05433,12381.21263,12252.23226,12024.71433,5043.93878,4318.879082,3655.793942,8390.040154,8622.927292,6097.127501,6963.00334,6425.125861,6331.418307,-2.50372596,10532.36475,13.36254177
1326,axo03163-f_at,BTF3,13337.38305,12334.5204,11940.04787,11679.89756,11566.11715,11344.52041,11161.24234,11450.50813,10548.1619,10796.87362,10467.73002,4574.05656,4399.276793,4552.575791,11143.0303,11744.73059,11910.29065,11768.41168,11863.61447,11876.80363,-1.60013734,10522.98965,13.36125702
13932,axo09060-f_at,TXN,11663.4017,11876.12037,12000.90014,12320.52404,12129.06735,12086.22429,11975.34003,12538.09026,10219.3938,12331.98996,11716.31284,5097.819157,4315.832923,4666.736743,11642.7642,12347.64252,10086.59769,10208.72447,11047.16069,10187.77936,-1.4342777,10522.92113,13.36124763
